"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameTitleComparatorLevenshtein record1Value","[0] GameTitleComparatorLevenshtein record2Value","[0] GameTitleComparatorLevenshtein record1PreprocessedValue","[0] GameTitleComparatorLevenshtein record2PreprocessedValue","[0] GameTitleComparatorLevenshtein similarity","[0] GameTitleComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","Games_Updated_ID_9230","vgsales_ID_12349","0.3392857142857143",,"Star Wars Lightsaber Combat","Star Wars Knights of the Old Republic II: The Sith Lords","Star Wars Lightsaber Combat","Star Wars Knights of the Old Republic II: The Sith Lords","0.3392857142857143","0.3392857142857143"
"LinearCombinationMatchingRule","Games_Updated_ID_8700","vgsales_ID_8795","0.3207547169811321",,"The Lord of the Rings, The Battle for Middle-earth II","The Secret Saturdays: Beasts of the 5th Sun","The Lord of the Rings, The Battle for Middle-earth II","The Secret Saturdays: Beasts of the 5th Sun","0.3207547169811321","0.3207547169811321"
"LinearCombinationMatchingRule","Games_Updated_ID_2437","vgsales_ID_6985","0.14814814814814814",,"Project Zero 2: Wii Edition","Pro Yakyuu Team o Tsukurou!","Project Zero 2: Wii Edition","Pro Yakyuu Team o Tsukurou!","0.14814814814814814","0.14814814814814814"
"LinearCombinationMatchingRule","Games_Updated_ID_14260","vgsales_ID_13045","0.75",,"Street Fighter Alpha","Street Fighter V","Street Fighter Alpha","Street Fighter V","0.75","0.75"
"LinearCombinationMatchingRule","Games_Updated_ID_1790","vgsales_ID_15756","0.4",,"Battlefield 4","Battle Engine Aquila","Battlefield 4","Battle Engine Aquila","0.4","0.4"
"LinearCombinationMatchingRule","Games_Updated_ID_9163","vgsales_ID_11910","0.2692307692307693",,"Jamdat Sports NFL 2006","James Cameron's Dark Angel","Jamdat Sports NFL 2006","James Cameron's Dark Angel","0.2692307692307693","0.2692307692307693"
"LinearCombinationMatchingRule","Games_Updated_ID_8964","vgsales_ID_2406","0.3793103448275862",,"Guitar Hero","Guitar Hero: Warriors of Rock","Guitar Hero","Guitar Hero: Warriors of Rock","0.3793103448275862","0.3793103448275862"
"LinearCombinationMatchingRule","Games_Updated_ID_8007","vgsales_ID_2197","0.25",,"Columns Crown","Colin McRae Rally 04","Columns Crown","Colin McRae Rally 04","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_3747","vgsales_ID_5655","0.25",,"Rocket Knight","Rock Band Country Track Pack","Rocket Knight","Rock Band Country Track Pack","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_3023","vgsales_ID_128","0.3157894736842105",,"The First Templar","The Legend of Zelda","The First Templar","The Legend of Zelda","0.3157894736842105","0.3157894736842105"
"LinearCombinationMatchingRule","Games_Updated_ID_305","vgsales_ID_979","0.34090909090909094",,"The Walking Dead: The Final Season Episode 4","The Legend of Zelda: The Wind Waker","The Walking Dead: The Final Season Episode 4","The Legend of Zelda: The Wind Waker","0.34090909090909094","0.34090909090909094"
"LinearCombinationMatchingRule","Games_Updated_ID_10113","vgsales_ID_9849","0.140625",,"Crazy Castle","Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart","Crazy Castle","Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart","0.140625","0.140625"
"LinearCombinationMatchingRule","Games_Updated_ID_6747","vgsales_ID_7951","0.3125",,"ProStroke Golf - World Tour 2007","Pro Yaky? Spirits 2012","ProStroke Golf - World Tour 2007","Pro Yaky? Spirits 2012","0.3125","0.3125"
"LinearCombinationMatchingRule","Games_Updated_ID_747","vgsales_ID_4760","0.4117647058823529",,"Little Nightmares","Littlest Pet Shop","Little Nightmares","Littlest Pet Shop","0.4117647058823529","0.4117647058823529"
"LinearCombinationMatchingRule","Games_Updated_ID_11581","vgsales_ID_6289","0.38888888888888884",,"Dragon's Lair 3D: Return to the Lair","Dragon Ball GT: Final Bout","Dragon's Lair 3D: Return to the Lair","Dragon Ball GT: Final Bout","0.38888888888888884","0.38888888888888884"
"LinearCombinationMatchingRule","Games_Updated_ID_3467","vgsales_ID_4157","0.20833333333333337",,"The Sims 3","The Godfather (JP sales)","The Sims 3","The Godfather (JP sales)","0.20833333333333337","0.20833333333333337"
"LinearCombinationMatchingRule","Games_Updated_ID_10516","vgsales_ID_12659","0.4",,"Wars and Warriors: Joan of Arc","Warriors: Legends of Troy","Wars and Warriors: Joan of Arc","Warriors: Legends of Troy","0.4","0.4"
"LinearCombinationMatchingRule","Games_Updated_ID_985","vgsales_ID_5951","0.15909090909090906",,"Battleborn","Batman: The Brave and the Bold the Videogame","Battleborn","Batman: The Brave and the Bold the Videogame","0.15909090909090906","0.15909090909090906"
"LinearCombinationMatchingRule","Games_Updated_ID_8726","vgsales_ID_1457","0.3191489361702128",,"Marc Ecko's Getting Up: Contents Under Pressure","Mario & Luigi: Partners in Time","Marc Ecko's Getting Up: Contents Under Pressure","Mario & Luigi: Partners in Time","0.3191489361702128","0.3191489361702128"
"LinearCombinationMatchingRule","Games_Updated_ID_1094","vgsales_ID_506","0.64",,"Call of Duty: Black Ops 3","Call of Duty: Ghosts","Call of Duty: Black Ops 3","Call of Duty: Ghosts","0.64","0.64"
"LinearCombinationMatchingRule","Games_Updated_ID_7168","vgsales_ID_11899","0.25",,"The Movies: Stunts & Effects","The Testament of Sherlock Holmes","The Movies: Stunts & Effects","The Testament of Sherlock Holmes","0.25","0.25"
"LinearCombinationMatchingRule","Games_Updated_ID_7668","vgsales_ID_7436","0.3913043478260869",,"Batman: Chaos in Gotham","Batman Begins","Batman: Chaos in Gotham","Batman Begins","0.3913043478260869","0.3913043478260869"
"LinearCombinationMatchingRule","Games_Updated_ID_9927","vgsales_ID_15591","0.3846153846153846",,"Starsky & Hutch","Starry ? Sky: After Summer","Starsky & Hutch","Starry ? Sky: After Summer","0.3846153846153846","0.3846153846153846"
"LinearCombinationMatchingRule","Games_Updated_ID_932","vgsales_ID_10974","0.18604651162790697",,"The Technomancer","The Secret Saturdays: Beasts of the 5th Sun","The Technomancer","The Secret Saturdays: Beasts of the 5th Sun","0.18604651162790697","0.18604651162790697"
"LinearCombinationMatchingRule","Games_Updated_ID_3208","vgsales_ID_9943","0.26315789473684215",,"The 3rd Birthday","The Lord of the Rings: Aragorn's Quest","The 3rd Birthday","The Lord of the Rings: Aragorn's Quest","0.26315789473684215","0.26315789473684215"
"LinearCombinationMatchingRule","Games_Updated_ID_6767","vgsales_ID_8921","0.24390243902439024",,"The Legend of Spyro: A New Beginning","The Incredible Hulk: Ultimate Destruction","The Legend of Spyro: A New Beginning","The Incredible Hulk: Ultimate Destruction","0.24390243902439024","0.24390243902439024"
"LinearCombinationMatchingRule","Games_Updated_ID_14442","vgsales_ID_15641","0.5",,"Final Fantasy Anthology","Final Fantasy XIV: Heavensward","Final Fantasy Anthology","Final Fantasy XIV: Heavensward","0.5","0.5"
"LinearCombinationMatchingRule","Games_Updated_ID_13248","vgsales_ID_6499","0.25",,"Star Trek: The Next Generation - Birth of the Federation","Star Wars: Bounty Hunter","Star Trek: The Next Generation - Birth of the Federation","Star Wars: Bounty Hunter","0.25","0.25"
