Games_Updated_ID,Console,Game_Name,Review,Score
Games_Updated_ID_258,PC,Imperator: Rome,Mediocre,5
Games_Updated_ID_259,PC,Mordhau  - Medieval Times,Great,8
Games_Updated_ID_260,PC,Cadence Of Hyrule  - Groove is in the Heart,Great,8
Games_Updated_ID_261,PC,My Friend Pedro  - Vote For Pedro,Good,7
Games_Updated_ID_262,PC,Crash Team Racing Nitro-Fueled  - Back With A Bang,Great,8
Games_Updated_ID_263,PC,Outer Wilds  - Extraterrestrial Investigation,Superb,9
Games_Updated_ID_264,PC,Octopath Traveler : Divide And Conquer,Great,8
Games_Updated_ID_265,PC,Persona Q2  - You Oughta Be In Pictures,Good,7
Games_Updated_ID_266,PC,Observation  - Space Madness,Great,8
Games_Updated_ID_267,PC,Dauntless  - Whole New World,Good,7
Games_Updated_ID_268,PC,Void Bastards  - Genres Collide,Great,8
Games_Updated_ID_269,PC,Trover Saves The Universe  - Couch Potatoes,Good,7
Games_Updated_ID_270,PC,Blood and Truth  - On The Move,Good,7
Games_Updated_ID_271,PC,Pathologic 2  - The Big Sick,Mediocre,5
Games_Updated_ID_272,PC,Anno 1800  - The Prettiest Spreadsheet,Good,7
Games_Updated_ID_273,PC,Mortal Kombat 11  - The Right Fight,Superb,9
Games_Updated_ID_274,PC,Total War: Three Kingdoms  - The New Romantics,Great,8
Games_Updated_ID_275,PC,Travis Strikes Again: No More Heroes  - Short On Heroics,Fair,6
Games_Updated_ID_276,PC,A Plague Tale: Innocence  - Of Rats And Children,Great,8
Games_Updated_ID_277,PC,Layers of Fear 2  - Ghost Ship,Mediocre,5
Games_Updated_ID_278,PC,Everybody's Golf VR  - A Short Date To The Golf Course,Fair,6
Games_Updated_ID_279,PC,Team Sonic Racing  - Gotta Go-Kart Fast,Good,7
Games_Updated_ID_280,PC,Metro Exodus  - Brand New Days,Great,8
Games_Updated_ID_281,PC,Whispers of a Machine  - Hushed Greatness,Good,7
Games_Updated_ID_282,PC,"Darkwood  - Welcome To The Forest, Meat",Superb,9
Games_Updated_ID_283,PC,Rage 2  - Wasted Land,Fair,6
Games_Updated_ID_284,PC,Life Is Strange 2: Episode 3  - Choosing Sides,Great,8
Games_Updated_ID_285,PC,World War Z  - Zombie Zeitgeist,Fair,6
Games_Updated_ID_286,PC,Giga Wrecker Alt  - Hunk Of Junk,Poor,4
Games_Updated_ID_287,PC,Yakuza Kiwami 2  - Like A Tiger,Great,8
Games_Updated_ID_288,PC,"Days Gone  - Farewell, Oregon",Mediocre,5
Games_Updated_ID_289,PC,BoxBoy! + BoxGirl!  - Hip To Be Square,Good,7
Games_Updated_ID_290,PC,SteamWorld Quest  - Letting Off Some Steam,Good,7
Games_Updated_ID_291,PC,Katana Zero  - Slow-Motion For Me,Great,8
