Console,Game_Name,Review,Score
PC,They Are Billions  - Everyone's Invited,Great,8
PC,Sea Of Solitude  - Adrift,Good,7
PC,Super Mario Maker 2  - Make My Day,Great,8
PC,Bloodstained: Ritual Of The Night Nintendo Switch  - Less Lively,Fair,6
PC,Bloodstained: Ritual Of The Night  - Not Dead Yet,Great,8
PC,Samurai Shodown  - Life Or Death,Great,8
PC,F1 2019  - Pole Position,Superb,9
PC,Judgment  - Like A Tiger,Good,7
PC,The Sinking City  - Draining,Bad,3
PC,Imperator: Rome,Mediocre,5
PC,Mordhau  - Medieval Times,Great,8
PC,Cadence Of Hyrule  - Groove is in the Heart,Great,8
PC,My Friend Pedro  - Vote For Pedro,Good,7
PC,Crash Team Racing Nitro-Fueled  - Back With A Bang,Great,8
PC,Outer Wilds  - Extraterrestrial Investigation,Superb,9
PC,Octopath Traveler : Divide And Conquer,Great,8
PC,Persona Q2  - You Oughta Be In Pictures,Good,7
PC,Observation  - Space Madness,Great,8
PC,Dauntless  - Whole New World,Good,7
PC,Void Bastards  - Genres Collide,Great,8
PC,Trover Saves The Universe  - Couch Potatoes,Good,7
PC,Blood and Truth  - On The Move,Good,7
PC,Pathologic 2  - The Big Sick,Mediocre,5
PC,Anno 1800  - The Prettiest Spreadsheet,Good,7
PC,Mortal Kombat 11  - The Right Fight,Superb,9
PC,Total War: Three Kingdoms  - The New Romantics,Great,8
PC,Travis Strikes Again: No More Heroes  - Short On Heroics,Fair,6
PC,A Plague Tale: Innocence  - Of Rats And Children,Great,8
PC,Layers of Fear 2  - Ghost Ship,Mediocre,5
PC,Everybody's Golf VR  - A Short Date To The Golf Course,Fair,6
PC,Team Sonic Racing  - Gotta Go-Kart Fast,Good,7
PC,Metro Exodus  - Brand New Days,Great,8
PC,Whispers of a Machine  - Hushed Greatness,Good,7
PC,"Darkwood  - Welcome To The Forest, Meat",Superb,9
PC,Rage 2  - Wasted Land,Fair,6
PC,Life Is Strange 2: Episode 3  - Choosing Sides,Great,8
PC,World War Z  - Zombie Zeitgeist,Fair,6
PC,Giga Wrecker Alt  - Hunk Of Junk,Poor,4
PC,Yakuza Kiwami 2  - Like A Tiger,Great,8
PC,"Days Gone  - Farewell, Oregon",Mediocre,5
PC,BoxBoy! + BoxGirl!  - Hip To Be Square,Good,7
PC,SteamWorld Quest  - Letting Off Some Steam,Good,7
PC,Katana Zero  - Slow-Motion For Me,Great,8
PC,Cuphead  - Rise To The Challenge,Great,8
PC,Falcon Age  - High Flying,Great,8
PC,Pathway  - Pulp Friction,Fair,6
PC,Heaven's Vault  - Come Sail Away,Fair,6
PC,My Time At Portia  - Crop Circles,Fair,6
PC,Hellblade: Senua's Sacrifice  - The Power Of Empathy,Great,8
PC,Zanki Zero: Last Beginning  - Attack Of The Clones,Fair,6
PC,MLB The Show 19  - Bases Loaded,Superb,9
PC,Tropico 6  - World Stage,Great,8
PC,The Division 2  - National Treasure,Superb,9
PC,The World Next Door  - Anime Angst,Fair,6
PC,"Operencia: The Stolen Sun  - A Journey Far, Far Away",Great,8
PC,Sekiro: Shadows Die Twice  - Steel Yourself,Superb,9
PC,The Walking Dead: The Final Season Episode 4,Superb,9
